Event	Sample label	Depth corr cr [crmcd]	Age [ka BP]	Age opt [ka] (Option 1: insolation-tuned ag...)	Age opt [ka] (Option 2: Mediterranean-tuned...)	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]	C. mundulus d18O [per mil PDB]	G. bulloides d18O [per mil PDB]
339-U1385E	339-U1385E-16H-5,112-113	147.77	1309.92	1309.10	1310.08	2.93	0.93		0.91
339-U1385E	339-U1385E-16H-5,113-114	147.78	1309.99	1309.20	1310.15	3.16	0.78		0.75
339-U1385E	339-U1385E-16H-5,114-115	147.79	1310.05	1309.29	1310.22	2.85	0.76		0.92
339-U1385E	339-U1385E-16H-5,115-116	147.80	1310.12	1309.39	1310.30	2.90	0.85		0.91
339-U1385E	339-U1385E-16H-5,116-117	147.81	1310.18	1309.48	1310.37	2.96	0.64		0.85
339-U1385E	339-U1385E-16H-5,117-118	147.81	1310.18	1309.48	1310.37			3.02	0.93
339-U1385E	339-U1385E-16H-5,118-119	147.82	1310.25	1309.58	1310.44	3.22	0.87		0.89
339-U1385E	339-U1385E-16H-5,119-120	147.83	1310.31	1309.68	1310.52	3.03	0.93		0.94
339-U1385E	339-U1385E-16H-5,120-121	147.84	1310.38	1309.77	1310.59	3.18	0.63		0.70
339-U1385E	339-U1385E-16H-5,121-122	147.85	1310.45	1309.87	1310.66	2.95	0.69		0.73
339-U1385E	339-U1385E-16H-5,122-123	147.86	1310.51	1309.96	1310.73	2.95	0.89		0.90
339-U1385E	339-U1385E-16H-5,123-124	147.87	1310.58	1310.06	1310.81	3.03	0.62		0.52
339-U1385E	339-U1385E-16H-5,124-125	147.87	1310.58	1310.06	1310.81	3.08	0.83		0.99
339-U1385E	339-U1385E-16H-5,125-126	147.88	1310.64	1310.16	1310.88	3.07	0.84		0.83
339-U1385E	339-U1385E-16H-5,126-127	147.89	1310.71	1310.25	1310.95				0.74
339-U1385E	339-U1385E-16H-5,127-128	147.90	1310.78	1310.35	1311.03	2.81	0.95		0.85
339-U1385E	339-U1385E-16H-5,128-129	147.91	1310.84	1310.45	1311.10	2.93	0.85		0.76
339-U1385E	339-U1385E-16H-5,129-130	147.92	1310.91	1310.54	1311.17	3.01	0.73		0.63
339-U1385E	339-U1385E-16H-5,130-131	147.93	1310.97	1310.64	1311.25	2.73	0.44		0.88
339-U1385E	339-U1385E-16H-5,131-132	147.93	1310.97	1310.64	1311.25	2.88	0.59		0.87
339-U1385E	339-U1385E-16H-5,132-133	147.94	1311.04	1310.73	1311.32				0.83
339-U1385E	339-U1385E-16H-5,133-134	147.95	1311.11	1310.83	1311.39	3.00	0.37		1.03
339-U1385E	339-U1385E-16H-5,134-135	147.96	1311.17	1310.93	1311.46	2.86	0.67		1.31
339-U1385E	339-U1385E-16H-5,135-136	147.97	1311.24	1311.02	1311.54	2.64	0.35		1.56
339-U1385E	339-U1385E-16H-5,136-137	147.98	1311.30	1311.12	1311.61	2.91	0.42		1.57
339-U1385E	339-U1385E-16H-5,137-138	147.98	1311.30	1311.12	1311.61				1.70
339-U1385E	339-U1385E-16H-5,138-139	147.99	1311.37	1311.22	1311.68	2.51	0.27		1.35
339-U1385E	339-U1385E-16H-5,139-140	148.00	1311.44	1311.31	1311.76	3.02	0.37		0.89
339-U1385E	339-U1385E-16H-5,140-141	148.01	1311.50	1311.41	1311.83	3.15	1.04		1.57
339-U1385E	339-U1385E-16H-5,141-142	148.02	1311.57	1311.50	1311.90	3.01	0.19		1.39
339-U1385E	339-U1385E-16H-5,142-143	148.03	1311.63	1311.60	1311.98	3.12	0.11		1.59
339-U1385E	339-U1385E-16H-5,143-144	148.04	1311.70	1311.70	1312.05				1.66
339-U1385E	339-U1385E-16H-5,144-145	148.04	1311.70	1311.70	1312.05				1.80
339-U1385E	339-U1385E-16H-5,145-146	148.05	1311.77	1311.79	1312.12	2.89	0.21		1.82
339-U1385E	339-U1385E-16H-5,146-147	148.06	1311.83	1311.89	1312.19	3.16	0.87		1.73
339-U1385E	339-U1385E-16H-5,147-148	148.07	1311.90	1311.99	1312.27				1.88
339-U1385E	339-U1385E-16H-5,148-149	148.08	1311.96	1312.08	1312.34	3.21	0.88		1.83
339-U1385E	339-U1385E-16H-5,149-150	148.10	1312.09	1312.27	1312.49	3.44	0.84		1.62
339-U1385E	339-U1385E-16H-5,150-151	148.11	1312.16	1312.37	1312.56	3.23	0.78		1.34
339-U1385E	339-U1385E-16H-5,151-152	148.13	1312.29	1312.56	1312.70				1.26
339-U1385E	339-U1385E-16H-6,0-1	148.14	1312.36	1312.66	1312.78	3.56	0.78		1.51
339-U1385E	339-U1385E-16H-6,1-2	148.15	1312.42	1312.76	1312.85	3.30	0.84		1.22
339-U1385E	339-U1385E-16H-6,2-3	148.17	1312.56	1312.95	1313.00	3.27	0.91		1.07
339-U1385E	339-U1385E-16H-6,3-4	148.18	1312.62	1313.04	1313.07	3.22	0.89		0.88
339-U1385E	339-U1385E-16H-6,4-5	148.20	1312.75	1313.24	1313.22	3.08	0.76		0.99
339-U1385E	339-U1385E-16H-6,5-6	148.21	1312.82	1313.33	1313.29	3.36	0.89		0.96
339-U1385E	339-U1385E-16H-6,6-7	148.22	1312.89	1313.43	1313.36	3.33	0.84		1.09
339-U1385E	339-U1385E-16H-6,7-8	148.24	1313.02	1313.62	1313.51	2.84	0.75		0.98
339-U1385E	339-U1385E-16H-6,8-9	148.25	1313.08	1313.72	1313.58	3.25	0.84		0.97
339-U1385E	339-U1385E-16H-6,9-10	148.26	1313.15	1313.81	1313.65	3.15	0.74		1.30
339-U1385E	339-U1385E-16H-6,10-11	148.28	1313.28	1314.01	1313.80	3.26	0.80		0.96
339-U1385E	339-U1385E-16H-6,11-12	148.29	1313.35	1314.10	1313.87	3.16	0.83		1.10
339-U1385E	339-U1385E-16H-6,12-13	148.31	1313.48	1314.29	1314.02	3.29	0.74		0.92
339-U1385E	339-U1385E-16H-6,13-14	148.32	1313.55	1314.39	1314.09	3.16	0.94		0.87
339-U1385E	339-U1385E-16H-6,14-15	148.33	1313.61	1314.49	1314.16	3.14	0.85		0.80
339-U1385E	339-U1385E-16H-6,15-16	148.35	1313.74	1314.68	1314.31	3.14	0.77		0.79
339-U1385E	339-U1385E-16H-6,16-17	148.36	1313.81	1314.78	1314.38	3.21	0.84		0.98
339-U1385E	339-U1385E-16H-6,17-18	148.38	1313.94	1314.97	1314.53	3.27	0.64		1.07
339-U1385E	339-U1385E-16H-6,18-19	148.39	1314.01	1315.06	1314.60	2.94	0.83		0.71
339-U1385E	339-U1385E-16H-6,19-20	148.40	1314.07	1315.16	1314.67	3.28	0.76		0.72
339-U1385E	339-U1385E-16H-6,20-21	148.41	1314.14	1315.26	1314.75	3.11	0.72		0.77
339-U1385E	339-U1385E-16H-6,21-22	148.41	1314.14	1315.26	1314.75	3.32	0.82		0.80
339-U1385E	339-U1385E-16H-6,22-23	148.42	1314.20	1315.35	1314.82	3.27	0.90		0.63
339-U1385E	339-U1385E-16H-6,23-24	148.43	1314.27	1315.45	1314.89	3.26	0.83		0.46
339-U1385E	339-U1385E-16H-6,24-25	148.44	1314.34	1315.55	1314.97	3.24	0.84		0.72
339-U1385E	339-U1385E-16H-6,25-26	148.44	1314.34	1315.55	1314.97	3.28	0.82		0.72
339-U1385E	339-U1385E-16H-6,26-27	148.45	1314.40	1315.64	1315.04	3.25	0.90		0.62
339-U1385E	339-U1385E-16H-6,27-28	148.46	1314.47	1315.74	1315.11	3.27	0.86		0.43
339-U1385E	339-U1385E-16H-6,28-29	148.47	1314.53	1315.83	1315.19	3.16	0.78		0.47
339-U1385E	339-U1385E-16H-6,29-30	148.48	1314.60	1315.93	1315.26	3.18	0.89		0.53
339-U1385E	339-U1385E-16H-6,30-31	148.48	1314.60	1315.93	1315.26	3.22	0.79		0.39
339-U1385E	339-U1385E-16H-6,31-32	148.49	1314.66	1316.03	1315.33				0.45
339-U1385E	339-U1385E-16H-6,32-33	148.50	1314.73	1316.12	1315.40	3.01	0.78		0.33
339-U1385E	339-U1385E-16H-6,33-34	148.51	1314.79	1316.22	1315.48	2.89	0.87		0.46
339-U1385E	339-U1385E-16H-6,34-35	148.52	1314.86	1316.32	1315.55	3.11	0.79		0.39
339-U1385E	339-U1385E-16H-6,35-36	148.52	1314.86	1316.32	1315.55				0.61
339-U1385E	339-U1385E-16H-6,36-37	148.53	1314.92	1316.41	1315.62	3.31	0.93		0.83
339-U1385E	339-U1385E-16H-6,37-38	148.54	1314.99	1316.51	1315.70	2.88	0.74		0.62
339-U1385E	339-U1385E-16H-6,38-39	148.55	1315.05	1316.60	1315.77	3.05	0.64		0.41
339-U1385E	339-U1385E-16H-6,39-40	148.55	1315.05	1316.60	1315.77	3.14	0.76		0.23
339-U1385E	339-U1385E-16H-6,40-41	148.56	1315.12	1316.70	1315.84	3.06	0.92		0.47
339-U1385E	339-U1385E-16H-6,41-42	148.57	1315.18	1316.76	1315.91				0.44
339-U1385E	339-U1385E-16H-6,42-43	148.58	1315.25	1316.83	1315.99	3.02	0.82		0.64
339-U1385E	339-U1385E-16H-6,43-44	148.59	1315.31	1316.89	1316.06	3.19	0.86		0.50
339-U1385E	339-U1385E-16H-6,44-45	148.59	1315.31	1316.89	1316.06	3.25	0.85		0.63
339-U1385E	339-U1385E-16H-6,45-46	148.60	1315.37	1316.96	1316.13	3.02	0.71		0.51
339-U1385E	339-U1385E-16H-6,46-47	148.61	1315.44	1317.02	1316.21				0.31
339-U1385E	339-U1385E-16H-6,47-48	148.62	1315.50	1317.08	1316.28	3.07	0.89		0.60
339-U1385E	339-U1385E-16H-6,48-49	148.63	1315.57	1317.15	1316.35	2.91	0.92		0.35
339-U1385E	339-U1385E-16H-6,49-50	148.63	1315.57	1317.15	1316.35	3.00	0.73		0.50
339-U1385E	339-U1385E-16H-6,50-51	148.64	1315.63	1317.21	1316.43	3.12	0.86		0.44
339-U1385E	339-U1385E-16H-6,51-52	148.65	1315.70	1317.28	1316.50	3.07	0.88		0.52
339-U1385E	339-U1385E-16H-6,52-53	148.66	1315.76	1317.34	1316.57	2.92	0.86		0.42
339-U1385E	339-U1385E-16H-6,53-54	148.66	1315.76	1317.34	1316.57	2.94	0.76		0.39
339-U1385E	339-U1385E-16H-6,54-55	148.67	1315.83	1317.41	1316.64	2.89	0.82		0.90
339-U1385E	339-U1385E-16H-6,55-56	148.68	1315.89	1317.47	1316.72	2.89	0.79		0.85
339-U1385E	339-U1385E-16H-6,56-57	148.69	1315.95	1317.53	1316.79	2.97	0.94		0.60
339-U1385E	339-U1385E-16H-6,57-58	148.70	1316.02	1317.60	1316.85	2.82	0.85		
339-U1385E	339-U1385E-16H-6,59-60	148.71	1316.08	1317.66	1316.91	2.78	0.74		0.67
339-U1385E	339-U1385E-16H-6,60-61	148.72	1316.15	1317.73	1316.97	3.00	0.90		0.65
339-U1385E	339-U1385E-16H-6,61-62	148.73	1316.21	1317.79	1317.03				0.60
339-U1385E	339-U1385E-16H-6,62-63	148.74	1316.28	1317.85	1317.09	3.01	0.90		0.51
339-U1385E	339-U1385E-16H-6,63-64	148.74	1316.28	1317.85	1317.09	3.09	0.77		0.64
339-U1385E	339-U1385E-16H-6,64-65	148.75	1316.34	1317.92	1317.15	3.13	0.89		0.66
339-U1385E	339-U1385E-16H-6,65-66	148.76	1316.41	1317.98	1317.21	2.95	0.78		0.59
339-U1385E	339-U1385E-16H-6,66-67	148.77	1316.47	1318.05	1317.28	2.66	0.77		0.47
339-U1385E	339-U1385E-16H-6,67-68	148.77	1316.47	1318.05	1317.28	2.84	0.86		0.69
339-U1385E	339-U1385E-16H-6,68-69	148.78	1316.54	1318.11	1317.34	2.86	0.78		0.49
339-U1385E	339-U1385E-16H-6,69-70	148.79	1316.60	1318.17	1317.40	2.76	0.88		0.59
339-U1385E	339-U1385E-16H-6,70-71	148.80	1316.66	1318.24	1317.46	2.75	0.85		0.64
339-U1385E	339-U1385E-16H-6,71-72	148.81	1316.73	1318.30	1317.52	2.79	0.74		0.57
339-U1385E	339-U1385E-16H-6,72-73	148.81	1316.73	1318.30	1317.52	2.90	0.87		0.62
339-U1385E	339-U1385E-16H-6,73-74	148.82	1316.79	1318.37	1317.58	2.76	0.80		0.65
339-U1385E	339-U1385E-16H-6,74-75	148.83	1316.86	1318.43	1317.64				0.60
339-U1385E	339-U1385E-16H-6,75-76	148.84	1316.92	1318.49	1317.70	2.77	0.78		0.62
339-U1385E	339-U1385E-16H-6,76-77	148.84	1316.92	1318.49	1317.70	3.03	0.95		0.44
339-U1385E	339-U1385E-16H-6,77-78	148.85	1316.99	1318.56	1317.76	2.61	0.84		0.58
339-U1385E	339-U1385E-16H-6,78-79	148.86	1317.05	1318.62	1317.82				0.62
339-U1385E	339-U1385E-16H-6,79-80	148.87	1317.12	1318.69	1317.88	2.89	0.84		0.77
339-U1385E	339-U1385E-16H-6,80-81	148.88	1317.18	1318.75	1317.94	2.93	0.80		0.75
