Age_ka,d18O,d13C,MgCa
471.6,4.39,-0.91,1.051
471.9,4.36,-1.02,
472.3,4.48,-1.00,0.911
473.0,4.31,-0.85,0.947
473.5,4.52,-0.92,0.966
473.7,4.46,-1.15,0.987
474.4,4.49,-1.10,0.843
475.1,4.66,-1.10,0.877
475.5,4.49,-0.99,0.900
475.8,4.61,-1.14,0.836
476.5,4.54,-1.14,0.836
477.3,4.36,-0.88,0.903
478.0,4.38,-1.19,0.909
478.7,4.37,-0.99,0.885
479.0,4.36,-0.76,1.017
479.4,4.35,-0.83,1.019
480.1,4.36,-0.81,0.952
480.8,3.96,-0.53,1.061
481.5,4.17,-0.59,1.016
482.2,4.13,-0.60,1.046
482.6,4.04,-0.45,1.076
483.6,4.32,-0.61,0.885
484.3,4.12,-0.27,1.062
485.1,3.99,-0.39,1.022
485.8,3.93,-0.47,0.978
486.1,3.87,-0.42,1.016
486.5,3.91,-0.42,1.037
487.2,4.00,-0.50,1.093
487.9,3.91,-0.49,0.910
488.6,3.90,-0.36,1.095
489.3,3.69,-0.26,1.042
489.7,4.15,-0.49,1.042
490.0,3.60,0.03,1.046
490.7,3.96,-0.47,0.977
491.4,3.73,-0.20,
491.8,3.81,-0.31,0.917
492.5,3.93,-0.58,1.067
492.7,3.55,-0.18,0.998
493.2,3.82,-0.32,1.017
493.9,3.71,-0.28,1.019
494.6,3.84,-0.33,1.103
494.8,3.46,-0.23,1.015
495.3,4.01,-0.47,1.053
496.0,3.76,-0.16,1.070
496.6,4.55,-1.07,1.017
496.8,3.54,-0.10,0.981
497.5,3.39,0.06,1.061
498.2,3.37,0.07,1.006
498.5,4.03,-0.78,1.100
498.9,4.00,-0.22,1.030
499.6,3.67,-0.20,1.106
500.3,3.95,-0.05,1.197
501.0,3.81,-0.35,1.095
501.7,3.74,-0.20,0.983
502.1,3.85,-0.14,
502.4,4.08,-0.46,0.992
503.1,4.13,-0.53,1.003
503.5,3.90,-0.23,1.030
503.8,4.05,-0.29,1.015
504.2,4.00,-0.07,1.196
504.6,3.99,-0.34,1.031
504.9,3.99,-0.38,1.114
505.3,3.92,-0.29,1.052
505.6,3.66,-0.13,1.039
