ID,Age_ka,d18O,MgCa
"339-U1385D-15H-3,50-51",1265.17,,1.4
"339-U1385D-15H-3,51-52",1265.25,3.65,
"339-U1385D-15H-3,52-53",1265.33,3.46,
"339-U1385D-15H-3,53-54",1265.41,3.58,
"339-U1385D-15H-3,5-6",1261.68,3.69,
"339-U1385D-15H-3,56-57",1265.64,3.54,
"339-U1385D-15H-3,57-58",1265.72,3.43,
"339-U1385D-15H-3,58-59",1265.79,3.53,
"339-U1385D-15H-3,59-60",1265.87,3.75,
"339-U1385D-15H-3,60-61",1265.95,3.43,
"339-U1385D-15H-3,60-61",1265.95,,1.123
"339-U1385D-15H-3,61-62",1266.03,3.64,
"339-U1385D-15H-3,61-62",1266.03,,1.109
"339-U1385D-15H-3,62-63",1266.1,3.5,
"339-U1385D-15H-3,63-64",1266.18,3.74,
"339-U1385D-15H-3,64-65",1266.26,3.66,
"339-U1385D-15H-3,65-66",1266.34,3.42,
"339-U1385D-15H-3,66-67",1266.41,3.51,
"339-U1385D-15H-3,6-7",1261.76,3.76,
"339-U1385D-15H-3,70-71",1266.72,3.49,
"339-U1385D-15H-3,70-71",1266.72,,1.092
"339-U1385D-15H-3,71-72",1266.8,3.62,
"339-U1385D-15H-3,71-72",1266.8,,1.157
"339-U1385D-15H-3,72-73",1266.88,3.68,
"339-U1385D-15H-3,73-74",1266.96,3.59,
"339-U1385D-15H-3,74-75",1267.03,3.64,
"339-U1385D-15H-3,75-76",1267.11,3.67,
"339-U1385D-15H-3,76-77",1267.19,3.36,
"339-U1385D-15H-3,77-78",1267.27,3.68,
"339-U1385D-15H-3,7-8",1261.84,3.69,
"339-U1385D-15H-3,78-79",1267.34,3.62,
"339-U1385D-15H-3,79-80",1267.42,3.65,
"339-U1385D-15H-3,80-81",1267.5,3.53,
"339-U1385D-15H-3,80-81",1267.5,,1.171
"339-U1385D-15H-3,80-81",1267.5,,1.11
"339-U1385D-15H-3,81-82",1267.58,3.6,
"339-U1385D-15H-3,82-83",1267.66,3.44,
